Abu Dhabi, United Arab Emirates	24.47	54.37
Abuja, Nigeria	9.06	7.49
Accra, Ghana	5.56	-0.20
Addis Ababa, Ethiopia	9.03	38.74
Algiers, Algeria	36.75	3.06
Amman, Jordan	31.95	35.93
Amsterdam, Netherlands	52.37	4.90
Ankara, Turkey	39.93	32.86
Antananarivo, Madagascar	-18.88	47.51
Ashgabat, Turkmenistan	37.96	58.33
Asuncion, Paraguay	-25.28	-57.64
Athens, Greece	37.98	23.73
Baghdad, Iraq	33.31	44.36
Baku, Azerbaijan	40.41	49.87
Bamako, Mali	12.64	-8.00
Bandar Seri Begawan, Brunei	4.90	114.94
Bangkok, Thailand	13.76	100.50
Bangui, Central African Republic	4.39	18.56
Banjul, Gambia	13.45	-16.58
Beijing, China	39.90	116.41
Beirut, Lebanon	33.89	35.50
Belgrade, Serbia	44.79	20.45
Berlin, Germany	52.52	13.40
Bern, Switzerland	46.95	7.45
Bishkek, Kyrgyzstan	42.87	74.59
Bogota, Colombia	4.71	-74.07
Brasilia, Brazil	-15.79	-47.88
Bratislava, Slovakia	48.15	17.11
Brazzaville, Republic of the Congo	-4.26	15.24
Bridgetown, Barbados	13.11	-59.60
Brussels, Belgium	50.85	4.35
Bucharest, Romania	44.43	26.10
Budapest, Hungary	47.50	19.04
Buenos Aires, Argentina	-34.60	-58.38
Cairo, Egypt	30.04	31.24
Canberra, Australia	-35.28	149.13
Caracas, Venezuela	10.48	-66.90
Chisinau, Moldova	47.01	28.86
Colombo, Sri Lanka	6.93	79.85
Conakry, Guinea	9.64	-13.58
Copenhagen, Denmark	55.68	12.57
Dakar, Senegal	14.72	-17.47
Damascus, Syria	33.51	36.28
Dar es Salaam, Tanzania	-6.79	39.21
Dhaka, Bangladesh	23.81	90.41
Djibouti, Djibouti	11.59	43.15
Doha, Qatar	25.29	51.53
Dublin, Ireland	53.35	-6.26
Dushanbe, Tajikistan	38.56	68.79
Freetown, Sierra Leone	8.48	-13.23
Gaborone, Botswana	-24.63	25.92
Georgetown, Guyana	6.80	-58.16
Guatemala City, Guatemala	14.63	-90.51
Hanoi, Vietnam	21.03	105.85
Harare, Zimbabwe	-17.83	31.05
Havana, Cuba	23.11	-82.37
Helsinki, Finland	60.17	24.94
Islamabad, Pakistan	33.69	73.06
Jakarta, Indonesia	-6.21	106.85
Jerusalem, Israel	31.77	35.21
Kabul, Afghanistan	34.56	69.21
Kampala, Uganda	0.35	32.58
Kathmandu, Nepal	27.72	85.32
Khartoum, Sudan	15.50	32.56
Kigali, Rwanda	-1.94	30.06
Kingston, Jamaica	17.97	-76.79
Kinshasa, DR Congo	-4.44	15.27
Kuala Lumpur, Malaysia	3.14	101.69
Kuwait City, Kuwait	29.38	47.99
Kyiv, Ukraine	50.45	30.52
La Paz, Bolivia	-16.50	-68.15
Libreville, Gabon	0.42	9.47
Lilongwe, Malawi	-13.96	33.77
Lima, Peru	-12.05	-77.04
Lisbon, Portugal	38.72	-9.14
Ljubljana, Slovenia	46.05	14.51
Lome, Togo	6.17	1.23
London, United Kingdom	51.51	-0.13
Luanda, Angola	-8.84	13.23
Lusaka, Zambia	-15.42	28.28
Luxembourg, Luxembourg	49.61	6.13
Madrid, Spain	40.42	-3.70
Malabo, Equatorial Guinea	3.75	8.78
Managua, Nicaragua	12.11	-86.24
Manama, Bahrain	26.23	50.59
Manila, Philippines	14.60	120.98
Maputo, Mozambique	-25.97	32.58
Maseru, Lesotho	-29.31	27.48
Mexico City, Mexico	19.43	-99.13
Minsk, Belarus	53.90	27.57
Mogadishu, Somalia	2.05	45.32
Monrovia, Liberia	6.30	-10.80
Montevideo, Uruguay	-34.90	-56.16
Moscow, Russia	55.76	37.62
Muscat, Oman	23.59	58.41
Nairobi, Kenya	-1.29	36.82
Nassau, Bahamas	25.06	-77.35
N'Djamena, Chad	12.13	15.06
New Delhi, India	28.61	77.21
Niamey, Niger	13.51	2.11
Nicosia, Cyprus	35.19	33.38
Nouakchott, Mauritania	18.09	-15.98
Nur-Sultan (Astana), Kazakhstan	51.17	71.43
Oslo, Norway	59.91	10.75
Ottawa, Canada	45.42	-75.70
Ouagadougou, Burkina Faso	12.37	-1.53
Panama City, Panama	8.98	-79.52
Paramaribo, Suriname	5.85	-55.20
Paris, France	48.85	2.35
Phnom Penh, Cambodia	11.56	104.92
Podgorica, Montenegro	42.44	19.26
Port Louis, Mauritius	-20.16	57.50
Port Moresby, Papua New Guinea	-9.44	147.18
Port-au-Prince, Haiti	18.59	-72.31
Porto-Novo, Benin	6.50	2.62
Prague, Czech Republic	50.08	14.44
Praia, Cape Verde	14.93	-23.51
Pretoria, South Africa	-25.75	28.19
Pyongyang, North Korea	39.04	125.76
Quito, Ecuador	-0.18	-78.47
Rabat, Morocco	34.02	-6.83
Reykjavik, Iceland	64.15	-21.94
Riga, Latvia	56.95	24.11
Riyadh, Saudi Arabia	24.71	46.68
Rome, Italy	41.90	12.50
San Jose, Costa Rica	9.93	-84.08
San Salvador, El Salvador	13.69	-89.19
Sana'a, Yemen	15.37	44.19
Santiago, Chile	-33.45	-70.67
Santo Domingo, Dominican Republic	18.49	-69.93
Sarajevo, Bosnia and Herzegovina	43.86	18.41
Seoul, South Korea	37.57	126.98
Singapore, Singapore	1.35	103.82
Skopje, North Macedonia	41.99	21.43
Sofia, Bulgaria	42.70	23.32
Stockholm, Sweden	59.33	18.06
Suva, Fiji	-18.14	178.44
Taipei, Taiwan	25.03	121.57
Tallinn, Estonia	59.44	24.75
Tashkent, Uzbekistan	41.30	69.24
Tbilisi, Georgia	41.72	44.83
Tegucigalpa, Honduras	14.07	-87.19
Tehran, Iran	35.69	51.39
Thimphu, Bhutan	27.47	89.64
Tirana, Albania	41.33	19.82
Tokyo, Japan	35.68	139.69
Tripoli, Libya	32.89	13.19
Tunis, Tunisia	36.81	10.18
Ulaanbaatar, Mongolia	47.89	106.91
Vaduz, Liechtenstein	47.14	9.52
Valletta, Malta	35.90	14.51
Vienna, Austria	48.21	16.37
Vientiane, Laos	17.97	102.60
Vilnius, Lithuania	54.69	25.28
Warsaw, Poland	52.23	21.01
Washington, D.C., United States	38.91	-77.04
Wellington, New Zealand	-41.29	174.78
Windhoek, Namibia	-22.56	17.08
Yaounde, Cameroon	3.85	11.50
Yerevan, Armenia	40.18	44.51
Zagreb, Croatia	45.81	15.98
